Tran Date,CHQNO,PARTICULARS,DR,CR,BAL,SOL
01-04-2026,-,ACH-DR-TP ACH INDIANESIGN-2147571823-UTIB70208052, ,              2000.00,           108195.56,037
01-04-2026,-,ACH-DR-TP ACH INDIANESIGN-2147571829-UTIB70208052, ,              2500.00,           105695.56,037
01-04-2026,-,ACH-DR-TP ACH INDIANESIGN-2147571828-UTIB70208052, ,              2000.00,           103695.56,037
01-04-2026,-,ACH-DR-TP ACH INDIANESIGN-2147562032-UTIB70208052, ,              2500.00,           101195.56,037
01-04-2026,-,ACH-DR-TP ACH INDIANESIGN-2147571825-UTIB70208052, ,              2000.00,            99195.56,037
01-04-2026,-,ACH-DR-TP ACH INDIANESIGN-2147571826-UTIB70208052, ,              2000.00,            97195.56,037
01-04-2026,-,ACH-DR-TP ACH INDIANESIGN-2147571824-UTIB70208052, ,              2000.00,            95195.56,037
01-04-2026,-,ACH-DR-TP ACH INDIANESIGN-2147571827-UTIB70208052, ,              2000.00,            93195.56,037
02-04-2026,-,NEFT/SBIN426092902769/MUNITIONS INDIA LTD  HIGH EX/STATE BANK OF INDIA//ATTN//INB,            107536.00, ,           200731.56,248
05-04-2026,-,UPI/P2M/100067494366/5Paisa MF/INDUSIND /UPI Mand//P2V/, ,              2500.00,           198231.56,037
05-04-2026,-,UPI/P2M/100067494367/5Paisa MF/INDUSIND /UPI Mand//P2V/, ,              2500.00,           195731.56,037
05-04-2026,-,NEFT/MB/AXOMB09502078840/Shivdeep Society/CANARA BANK/Others-maintenance for march, ,              1550.00,           194181.56,037
06-04-2026,-,ACH-DR-TP ACH INDIANESIGN-2158136591-UTIB70208052, ,              2000.00,           192181.56,037
06-04-2026,-,POS/UNIT RUN CANTEEN/PUNE/060426/16:32/609616302093, ,              2545.00,           189636.56,037
08-04-2026,-,MBBPay/KendriyaVi/03708934715/080426, ,              1800.00,           187836.56,037
08-04-2026,-,MBBPay/KendriyaVi/03708934716/080426, ,              1800.00,           186036.56,037
08-04-2026,-,ACH-DR-TP ACH INDIANESIGN-2165352251-UTIB70208052, ,              5000.00,           181036.56,037
08-04-2026,-,UPI/P2M/646406673461/5paisa Capital Limite/532078/ICICI Bank, ,             50000.00,           131036.56,037
09-04-2026,-,ACH-DR-TP ACH INDIANESIGN-2167045967-UTIB70208052, ,              2500.00,           128536.56,037
09-04-2026,-,UPI/P2A/141841460996/GOOGLE IN/UTIB/UPI/,                 1.00, ,           128537.56,037
09-04-2026,-,UPI/P2M/609939688350/Google India Digital /UPI/AXIS BANK, ,               200.90,           128336.66,037
09-04-2026,-,UPI/P2M/646510400697/Google India Digital /UPI/AXIS BANK, ,               300.90,           128035.76,037
09-04-2026,-,NEFT/SBIN326099852076/MUNITIONS INDIA LTD  HIGH EX/STATE BANK OF INDIA//ATTN//INB,              7727.00, ,           135762.76,248
10-04-2026,-,ICICI Prudential, ,              2500.00,           133262.76,006
10-04-2026,-,UPI/P2A/610066445654/SATISH CHAUHAN       /UPI/HDFC BANK LTD, ,              1000.00,           132262.76,037
11-04-2026,-,UPI/P2A/610151173716/Swapnil Sunil Ohal   /UPI/State Bank Of India, ,               200.00,           132062.76,037
12-04-2026,-,UPI/P2M/610249100387/C R AGARWAL AND SONS /UPI/YES BANK LIMITED YBS, ,               215.00,           131847.76,037
12-04-2026,-,UPI/P2M/646844593769/Aaijee kirana        /UPI/YES BANK LIMITED YBS, ,                75.00,           131772.76,037
12-04-2026,-,UPI/P2M/610231900927/HR  ENTERPRISES      /UPI/YES BANK LIMITED YBS, ,                60.00,           131712.76,037
13-04-2026,-,ECS/111122192139375/RAZORPAY SOFTWARE PRIVATE LIM, ,             30000.00,           101712.76,037
15-04-2026,-,ACH-CR-IREDA INTDIV 202526-NACH-1736531-1736531,               180.00, ,           101892.76,2567
15-04-2026,-,UPI/P2M/610540187630/Newton School        /Paymen/AIRTEL PAYMENTS BANK, ,               900.00,           100992.76,037
18-04-2026,-,NEFT/SBIN226108513848/MUNITIONS INDIA LTD  HIGH EX/STATE BANK OF INDIA//ATTN//INB//MUNITIONS INDIA L,            101250.00, ,           202242.76,248
18-04-2026,-,NEFT/IN22610823914469/5PAISA CAPITAL LIMITED CLIEN/ICICI BANK LIMITED/5PAISA CAPITAL LIMITED CLIENT,              2617.74, ,           204860.50,248
18-04-2026,-,UPI/P2A/131003901086/GOOGLE IN/UTIB/UPI/,                 2.00, ,           204862.50,037
19-04-2026,-,UPI/P2M/647521969193/Amazon India         /You ar/Amazon RBL, ,               192.00,           204670.50,037
23-04-2026,-,UPI/P2M/647937433857/ANAROCK GROUP BUSINES/UPIInt/AIRTEL PAYMENTS BANK, ,              5662.40,           199008.10,037
25-04-2026,-,UPI/P2M/648175233176/K M AGARWAL WINES    /UPI/YES BANK LIMITED YBS, ,               215.00,           198793.10,037
25-04-2026,-,UPI/P2M/648173249827/SANJAY SHIVCHARAN GOY/UPI/YES BANK LIMITED YBS, ,                70.00,           198723.10,037
25-04-2026,-,UPI/P2M/648100854055/AFFAN CHICKEN AND EGG/UPI/AXIS BANK, ,               238.00,           198485.10,037
25-04-2026,-,UPI/P2M/648113035023/Aaijee kirana        /UPI/YES BANK LIMITED YBS, ,                95.00,           198390.10,037
25-04-2026,-,UPI/P2M/648127051910/HANNAN MANNAN BAGWAN /UPI/YES BANK LIMITED YBS, ,                20.00,           198370.10,037
25-04-2026,-,UPI/P2M/648153237994/RESHMA SHAKIL AHMED  /UPI/BALANCEHERO INDIA PR, ,                40.00,           198330.10,037
26-04-2026,-,UPI/P2M/611601038653/AU Small Finance Bank/Sent u/YES BANK LIMITED YBS, ,              2368.11,           195961.99,037
29-04-2026,-,UPI/P2A/611979863104/ROHIT HARISHCHANDRA Y/UPI/UNION BANK OF INDIA, ,                40.00,           195921.99,037
30-04-2026,-,UPI/P2M/612024092255/HP Police Welfare Pet/UPI/YES BANK LIMITED YBS, ,               727.44,           195194.55,037
30-04-2026,-,POS/UNIT RUN CANTEEN/PUNE/300426/15:50/612015769950, ,               345.00,           194849.55,037
30-04-2026,-,POS/UNIT RUN CANTEEN/PUNE/300426/16:14/612016846340, ,              1189.00,           193660.55,037
30-04-2026,-,UPI/P2A/648647258798/Mr. BHIMSEN HARI GAIK/UPI/BANK OF MAHARASHTRA, ,               500.00,           193160.55,037
30-04-2026,-,NEFT/SBIN326120107469/MUNITIONS INDIA LTD  HIGH EX/STATE BANK OF INDIA//ATTN//INB,            113437.00, ,           306597.55,248
